empl_num,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,year
6095.0,0.94238039656147,0.060563349263329444,0.6783021707372578,-0.16153055183373322,0.20205526074233623,0.16501911702231953,0.3990333122785818,0.7990190065790449,5.426569265555342,0.20923542326442596,1.115921557116912,1.082798138325077,0.6559365737477103,4.454819249535422,3.975687069050031,0.8924463252834874,1007.536231884058,0.07673845142199573,0.05504912380492815,0.03490425831614071,5.0
255.0,1.9804941482444733,0.2743823146944083,0.9167750325097529,0.6244254760341431,0.0893770339377034,0.22064777327935223,0.0,0.9335192933519293,14.041958041958042,0.21508261544979523,1.2593821273066557,1.1238281796557996,0.705950720595072,10.618881118881118,12.295546558704453,1.1578947368421053,357.29411764705884,0.11606848864010537,0.0597396559739656,0.02564741035856574,5.0
114.0,0.3741598207617625,0.0014936519790888724,0.08513816280806571,-1.5049900199600799,0.2357394366197183,0.5089285714285714,0.8888888888888888,0.7790492957746479,5.017006802721088,0.09673682178026646,0.7745856353591161,1.1853736940798285,0.12341549295774648,0.7947845804988662,6.258928571428571,7.875,36.89473684210526,-0.5848787446504993,0.01056338028169014,0.0,5.0
365.0,7.8590785907859075,0.8319783197831978,2.4498644986449865,0.8758620689655172,0.05943943298969072,0.03003003003003003,0.011111111111111112,0.9420103092783505,16.244444444444444,0.8766626360338573,1.2232839176561512,1.3094491715181371,2.8046069587628866,48.36388888888889,26.14264264264264,0.5405405405405406,33.67698259187621,0.17173051519154559,0.4962951030927835,0.3124145006839945,5.0
168.0,1.7793764988009593,0.005595523581135092,0.8832933653077538,0.52785265049416,0.13549147818630078,0.886685552407932,0.4897959183673469,0.8873405509700932,10.558673469387756,0.3133887089961988,0.8743808202892808,0.9948323518807836,0.47304105477543146,5.628826530612245,3.1253541076487252,0.5552407932011332,19.103896103896105,0.06480852028098799,0.025726230035373568,0.011838608359507128,5.0
6969.0,4.200292791925107,1.3101668143468044,2.355742189004893,0.7670577013033468,0.06714218276114046,0.04351510685335298,0.001988462977181895,0.9343063522138658,14.22245191266513,0.392790300121951,1.1894096628639947,1.0818921104654646,0.9583378061161802,14.588270037209853,13.651105379513632,0.935759027266028,84.65463269736091,0.16426849775028274,0.1407005994606794,0.09862112593974814,5.0
1754.0,0.835975754438189,0.008002761060419767,0.18222998770465282,-0.20046445619920011,0.48823737048649324,0.4278890131110885,0.09015788015880344,0.5169950790058346,2.2988643707875545,0.6732155575242761,1.1854753466393086,1.0583834562496015,0.9897012105230373,4.400794017172929,9.688992783819494,2.2016465087915438,6.7256949343869055,0.04162383300115389,0.03540208882705924,0.0438772641471545,5.0
146.0,4.096916299559472,1.1938325991189427,1.8237885462555066,0.6838709677419355,0.036512130674993995,0.32167832167832167,0.271889400921659,0.9646889262551045,37.013824884792626,0.125743645213629,1.5585585585585586,1.0151668351870575,0.5194571222675954,19.930875576036865,30.244755244755243,1.5174825174825175,22.763157894736842,0.08416184971098266,0.03783329329810233,0.017056772908366533,5.0
1674.0,2.1943071416396798,0.11215271859553434,0.7409238111470939,0.5544508311325151,0.19373040752351098,0.023384130320546506,0.07817355964618694,0.8107243029203102,5.8735357398995935,0.7385692157650163,0.989558232931727,1.0010185788787485,1.8294010889292196,13.25364570882142,14.566473988439306,1.0990541250656858,19.49367088607595,0.060137085137085135,0.11720838145520542,0.09194513411209247,5.0
2455.0,1.215800435482344,0.06300293477231847,0.4139922370538673,0.08993576017130621,0.34138331880267364,0.05798714144411474,0.041189931350114416,0.6603458297006685,4.521440652671376,0.5954561261156833,0.8949573397506017,1.0176911879968649,1.1888549840162743,8.140185056213312,10.115850642927795,1.2427052423343226,27.631543397500845,0.10250925846706675,0.08830281894798024,0.06260314666079876,5.0
1314.0,0.6511850152905199,0.011085626911314985,0.28354357798165136,-0.5318461990020545,0.48904051969902324,0.6720790681256619,0.6601361447783497,0.5121746039164369,1.819525153577951,0.4672563944318727,0.7091455010828903,1.050316273720529,0.6733186895359162,2.39199734351652,5.085421814331098,2.1260148252735616,13.02622061482821,0.002845838828347331,0.012478384820301912,0.0,5.0
1590.0,0.9220955483170467,0.028773072747014114,0.18078175895765472,-0.46894318516337946,0.09956323208258884,0.37592592592592594,0.34600262123197906,0.9009330950962875,19.82525120139799,0.0723181402082047,1.408957018334836,0.9148824644167574,0.46531665674012307,10.239405854084753,43.403703703703705,4.238888888888889,38.110569105691056,0.032511306425462926,0.009529481834425254,0.0,5.0
687.0,2.8521021021021022,0.031156156156156155,0.6373873873873874,0.6570150039484075,0.1785881879734531,0.009114583333333334,0.08030431107354184,0.8252999932962392,10.406593406593407,1.0381199617434076,0.6995513531767089,1.1107001082641645,1.9442247100623449,24.5156382079459,18.881510416666668,0.7701822916666666,23.617263843648207,0.07744293497000207,0.1628343500703895,0.13735683535049956,5.0
795.0,1.39992958986094,0.010033444816053512,0.5266678401689844,0.24682509744750408,0.22236208811551278,0.46434132668950484,0.41214814814814815,0.7782302850796001,6.228148148148148,0.417326966469014,1.0027660986944014,1.081275720164609,1.0066271751203257,8.056,8.467455621301776,1.0510744316412333,10.845233346629438,0.05380852550663871,0.03191410588670863,0.008420551855375833,5.0
825.0,1.20109439124487,0.014461598592925543,0.7432740538075695,0.17287666775138302,0.601858386262056,0.03228703578966276,0.03047460449625312,0.4020818630910374,3.415653621981682,2.608658743633277,3.787121372590553,1.5439217162213021,1.4019446404767506,11.909408825978351,3.2114598769590015,0.2696573712335534,22.783051927365403,0.19001342356955087,0.2431976789774955,0.48998098581249083,5.0
